entity_in_kg,external_source_uri
PatientSafety,http://dbpedia.org/resource/Medical_error
Safety,http://dbpedia.org/resource/Risk_management
Privacy,http://dbpedia.org/resource/Information_privacy
Responsibility,http://dbpedia.org/resource/Accountability
Reasoning,http://dbpedia.org/resource/Inference
Learning,http://dbpedia.org/resource/Machine_learning
Generating,http://dbpedia.org/resource/Natural_language_generation
Transforming,http://dbpedia.org/resource/Data_transformation
Symbolic,http://dbpedia.org/resource/Symbolic_artificial_intelligence
Statistical,http://dbpedia.org/resource/Statistical_model
Multimodal,http://dbpedia.org/resource/Multimodal_interaction
Doctor,http://dbpedia.org/resource/Clinical_decision_support_system
Caregiver,http://dbpedia.org/resource/Health_care
Passenger,http://dbpedia.org/resource/Self-driving_car
Teacher,http://dbpedia.org/resource/Education
Designer,http://dbpedia.org/resource/Design
EndUser,http://dbpedia.org/resource/Human-computer_interaction
ClinicalDecisionSupportAI,http://dbpedia.org/resource/Artificial_intelligence_in_healthcare
LegalDecisionSupportAI,http://dbpedia.org/resource/Expert_system
FaceMatchingAI,http://dbpedia.org/resource/Pattern_recognition
AutonomousVehicle,http://dbpedia.org/resource/Intelligent_transportation_system
AGV_system,http://dbpedia.org/resource/Mobile_robot
EndUserInteractionWithAI,http://dbpedia.org/resource/User_experience
EndUserInteractionWithAI,http://dbpedia.org/resource/Explainable_artificial_intelligence
AutonomousVehicleBeliefCommunication,http://dbpedia.org/resource/Autonomous_car
AutonomousVehicleBeliefCommunication,http://dbpedia.org/resource/Situation_awareness
HybridMoralDecisionMaking,http://dbpedia.org/resource/AI_ethics
HybridMoralDecisionMaking,http://dbpedia.org/resource/Decision-making
FaceMatchingDecisionSupport,http://dbpedia.org/resource/Biometrics
FaceMatchingDecisionSupport,http://dbpedia.org/resource/Pattern_recognition
WarehouseAVGscenario,http://dbpedia.org/resource/Logistics
WarehouseAVGscenario,http://dbpedia.org/resource/Mobile_robot
SHARPIE_HumanAI_RL_Scenario,http://dbpedia.org/resource/Reinforcement_learning
SHARPIE_HumanAI_RL_Scenario,http://dbpedia.org/resource/Human-computer_interaction
HILO_LegalDesk_Scenario,http://dbpedia.org/resource/Knowledge_worker
HILO_LegalDesk_Scenario,http://dbpedia.org/resource/Expert_system
BRIDGET_HybridDecisionScenario,http://dbpedia.org/resource/Decision-making
BRIDGET_HybridDecisionScenario,http://dbpedia.org/resource/Collaboration
HI_EmergencyAntibioticsScenario,http://dbpedia.org/resource/Antibiotic
HI_EmergencyAntibioticsScenario,http://dbpedia.org/resource/Clinical_decision_support_system
HI_DiagnosisAdjudicationScenario,http://dbpedia.org/resource/Diagnosis
